composite_key,objeto_contrato,valor_contrato,processo_gdf,numero_contrato,raw_text_hash,versao_idx
f0d1253a8a44_00303-00000580/2019-30_1/2019,"Aquisicao de materiais permanentes, Item 1, 20 (vinte) mesas 70x70 de plastico resistente, Item 2, 100 (cem) cadeiras de plastico resistente, capacidades de peso: 182 kg, conforme detalhado nos autos.","R$ 3.540,00",00303-00000580/2019-30,1/2019,ab58a8b28382,0
bbac1b949ca8_00303-00000617/2019-20_2/2019,"Aquisicao de material permanente, 2 (duas) Tendas modelo piramidal no tamanho 6X6 com fechamentos laterais, conforme detalhado nos autos.","R$ 7.400,00",00303-00000617/2019-20,2/2019,b599204a7500,0
"d45eed449c22_04017-
00002076/2019-41_011/2019","O presente instrumento, tem por objeto aquisicao de aparelhos de ar condicionado, com instalacao simples, tipo Split com Sistema Inverter, item 07","R$ 60.000,00","04017-
00002076/2019-41",011/2019,cb13f0925011,0
"7fb4ecd93f0c_04017-
00001961/2019-11_012/2019","O presente instrumento, tem por objeto aquisicao de aparelhos de ar condicionado, com instalacao simples, tipo Split com Sistema Inverter, itens 01,03 e 06","R$ 108.365,00","04017-
00001961/2019-11",012/2019,4a3fe0c6bf9a,0
cd600cd2cbe9_00050.000.62452/2018-36_053/2019,"aquisicao de 18 (dezoito) bebedouros de inox, para atender demandas de unidades da Secretaria de Estado de Seguranca Publica do Distrito Federal, consoante especifica o Edital de Pregao Eletronico no 11/2018-SSPDF.","R$ 14.327,64",00050.000.62452/2018-36,053/2019,57bd037d4e33,0
e92751885fe0_00050-35881/2019-11_068/2019,"prestacao de servicos de empresa especializada para substituicao das telhas e recuperacao da impermeabilizacao dos elementos da cobertura e das fachadas cegas (laterais) do Edificio Sede da Secretaria de Seguranca Publica do Distrito Federal, consoante especifica o Edital de Pregao Eletronico no 25/2019-SSPDF.","R$ 173.799,00",00050-35881/2019-11,068/2019,6516fabd45d5,0
d34edac6e3cd_041.000.096/2019_161/2019,contratacao de empresa para prestacao de servicos especializados na avaliacao de desempenho dos integrantes dos orgaos de governanca.,"R$ 169.998,00",041.000.096/2019,161/2019,f89368ccd816,0
bbbd908ef887_936/2019_169/2019,"projeto ""BRB Stand Up Brasilia""","R$ 40.000,00",936/2019,169/2019,54fd6907582d,0
02da10161b1e_00121.0000.1497/2019-52_16//2019,"Contratacao de empresa especializada na prestacao de servicos de confeccao copias e modelagens de chaves, instalacao, consertos e aberturas de fechaduras, troca de segredos, para atender as necessidades destes Companhia","R$ 6.660,00",00121.0000.1497/2019-52,16//2019,0d57937002aa,0
0244c64ac65b_039814_unknown_numero,"Para servicos relacionados ao processo no 304-00001023/2019-16, contrato SEI no 039814 - referente a a prestacao de servicos de Show Artisticos Esportes com Manobras Radicais, para a realizacao da comemoracao do Trigesimo Aniversario de Sobradinho II, a ser realizado no dia 18 de outubro de 2019, prestados pela Empresa Forca e Acao e Comercio e Evento LTDA","R$ 10.000,00",039814,,5e504a8e9983,0
0f1c7a66b2d8_041.000.829/2019_189/2019,Prestacao de servicos de consultoria para construcao de indicadores de desempenho da carteira de credito da Financeira BRB.,"R$ 37.500,00",041.000.829/2019,189/2019,6f87654ce09f,0
19a7d6a1ba80_1093/2019_2019/001,"projeto ""Gente que Inspira""","R$ 120.000,00",1093/2019,2019/001,9dbb5bc95c4a,0
ff4fc66303eb_00112-00017634/2018-07_095/2018,"contratacao de empresa, com mao de obra especializada, para a prestacao de servicos de manutencao de maquinas da marca: BobCat, equipamentos e implementos, com eventual fornecimento e aplicacao de pecas genuinas, conforme especificacoes e quantitativos constantes do Termo de Referencia, na proposta apresentada todos constantes do processo, os quais se tornam parte integrante deste instrumento, independentemente de transcricoes","R$ 46.550,00",00112-00017634/2018-07,095/2018,c4290c378c30,0
0b2a68d7ff70_220.001.535/2016_2157/2017,"Identificacao CEB 1.001.558-2 (Estadio Bezerrao) - Regular o fornecimento de energia eletrica pela Distribuidora ao Contratante, para uso exclusivo em sua unidade consumidora, pertencente ao grupo A e regular os direitos e obrigacoes das partes ao uso da rede eletrica, observados o MUSD contratado e o ponto de conexao;","R$ 331.962,84",220.001.535/2016,2157/2017,916e34bd5678,0
c70ce24ed6f1_00144-00003040/2018-42_11/2018,"O presente CONTRATO tem por objeto regular, de forma continua, exclusivamente os servicos publicos de abastecimento de agua e esgotamento sanitario ao CONTRATANTE, necessarios ao funcionamento dos proprios desta RA-XIV constantes no Anexo I deste Extrato, conforme condicoes, quantidades e especificacoes do Projeto Basico RA-XIV/COAG/GEAD (16406882).","R$ 1.069.698,90",00144-00003040/2018-42,11/2018,5346440373de,0
a8a638955781_0097-000916/2017_unknown_numero,"Prorrogacao do prazo de vigencia do Contrato ora aditado, por mais 12 (doze) meses, a partir do dia 12/12/2018 ate 12/12/2019.","R$ 427.751,88",0097-000916/2017,,b22ccf093d62,0
52b36eaf3f10_041.00.1350/2018_2018/259,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1350/2018,2018/259,eaab4e052c96,0
52b36eaf3f10_041.00.1331/2018_2018/245,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1331/2018,2018/245,c0872379cbf7,0
52b36eaf3f10_041.00.1348/2018_2018/255,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1348/2018,2018/255,ab3d59821cea,0
52b36eaf3f10_041.00.1322/2018_2018/242,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1322/2018,2018/242,40b35a709e05,0
52b36eaf3f10_041.00.1323/2018_2018/241,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1323/2018,2018/241,0c00e4166944,0
52b36eaf3f10_041.00.1324/2018_2018/240,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1324/2018,2018/240,8af1ce883a6b,0
52b36eaf3f10_041.00.1347/2018_2018/256,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1347/2018,2018/256,f6bce1a7565c,0
52b36eaf3f10_041.00.1330/2018_2018/250,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1330/2018,2018/250,3868fb988a33,0
52b36eaf3f10_041.00.1329/2018_2018/246,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1329/2018,2018/246,1467139bb404,0
52b36eaf3f10_041.00.1332/2018_2018/244,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1332/2018,2018/244,cb3d900b3805,0
52b36eaf3f10_041.00.1339/2018_2018/248,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1339/2018,2018/248,89599247b8b2,0
52b36eaf3f10_041.00.1337/2018_2018/251,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1337/2018,2018/251,aa1625b3fe20,0
52b36eaf3f10_041.00.1349/2018_2018/257,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1349/2018,2018/257,a532ce9fdfd6,0
52b36eaf3f10_041.00.1338/2018_2018/249,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1338/2018,2018/249,cb1184b407a5,0
52b36eaf3f10_041.00.1351/2018_2018/258,"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",041.00.1351/2018,2018/258,00456abebc7b,0
2fd8959210ec_113-00030458/2018-62_77/2018,"O presente contrato tem por objeto a prestacao de servicos de arrecadacao de multas de transito, de acordo com o art. 8o do Decreto Federal no 2.613, de 23 de junho de 1998, contendo as informacoes conforme modelo disposto na Portaria no 95, de 28/07/2015","R$ 246.000,00",113-00030458/2018-62,77/2018,b16343177458,0
a276cd7eb74b_00070-00016600/2018-76_45/2018,"O Contrato tem por objeto a aquisicao dos seguintes itens: Item 20: Quantidade 03 ( tres). GRADE ARADORA CONTROLE R E M O TO , com 14 discos de 26 polegadas de diametro e 06 mm de espessura minima, mancais de rolamento com lubrificacao permanente em banho de oleo, ou a graxa, espacamento minimo entre os discos de 230mm. controle remoto para regulagem de profundidade do trabalho e transporte por meio do sistema hidraulico e pneus agricolas largura de corte minima de 1500 mm. compativel com tratores de potencia minima de 75 CV; Marca: CIMAG; Modelo / Versao: GRADE ARADORA CIMAG 14 x 26 x 6,0, consoante especifica o Edital de Pregao Eletronico no 04/2018 (Doc. Sei id 5507666) e a Proposta (Doc. Sei id14269745), que passam a integrar o presente Termo","R$ 39.600,00",00070-00016600/2018-76,45/2018,63505275e0b4,0
06da7bfdf032_00070-00016822/2018-99_47/2018,"O Contrato tem por objeto a aquisicao dos seguintes itens: Item 20: Quantidade 05 (cinco). GRADE ARADORA CONTROLE REMOTO, com 14 discos de 26 polegadas de diametro e 06 mm de espessura minima, mancais de rolamento com lubrificacao permanente em banho de oleo, ou a graxa, espacamento minimo entre os discos de 230mm. controle remoto para regulagem de profundidade do trabalho e transporte por meio do sistema hidraulico e pneus agricolas largura de corte minima de 1500 mm. compativel com tratores de potencia minima de 75 CV; Marca: CIMAG; Modelo / Versao: GRADE ARADORA CIMAG 14 x 26 x 6,0, consoante especifica o Edital de Pregao Eletronico no 04/2018 (Doc. Sei id 5507666) e a Proposta (Doc. Sei id 14816930), que passam a integrar o presente Termo","R$ 66.000,00",00070-00016822/2018-99,47/2018,9c97595e8b23,0
4d6785cb6d83_00053-00055110/2018-85_32/2018,"O Contrato tem por objeto a aquisicao de Aquisicao de 170 (cento e setenta) capacetes de salvamento, na cor laranja, Marca/Modelo KASK/ HP CRI , conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital (12132526) e na Proposta (12917099), que passam a integrar o presente Termo.","R$ 175.950,00",00053-00055110/2018-85,32/2018,69da8fd1498e,0
c3f09a418f57_092.004402/2018_9020,"Aquisicao de tubos de Polietileno de Alta Densidade - PEAD, para utilizacao nas obras de remanejamento do interceptor de Taguatinga, dos sistemas de esgotamento sanitario do Sol Nascente Bacia E, Por do Sol e Colonia Agricola Sucupira, extravasor e linha de recalque SES Sol Nascente Bacia E, substituicao de redes de distribuicao de agua nas SCRLN/SHCG 703 a 712 na Asa Norte, em Brasilia/DF (itens 03, 04, 13 e 14).","R$ 861.960,00",092.004402/2018,9020,2746c65ef2c6,0
73ce47942e20_0391-001119/2016_07/2018,"O presente Contrato objetiva a prestacao de servico de cessao de uso e treinamento remoto (via internet) do Modulo Adicional Legislacao do sistema de gerenciamento de bibliotecas, Sophia Biblioteca, consoante a Justificativa de Inexigibilidade de Licitacao baseada no inciso I do artigo 25 da Lei no 8.666/1993.","R$ 3.135,30",0391-001119/2016,07/2018,7ccc79f56dd6,0
be564ce0ddb6_00391-00007815/2018-64_15/2018,"O presente contrato objetiva a contratacao de prestacao de servicos de elaboracao de projeto arquitetonico, projeto eletrico e projeto de climatizacao para a reforma do Centro de Processamento de dados - CPD, de competencia do Instituto do Meio Ambiente e dos Recursos Hidricos do Distrito Federal - IBRAM.","R$ 8.500,00",00391-00007815/2018-64,15/2018,74d76cc779c5,0
4abd18053fed_00367-00001224/2018-26_01/2018,"contratacao de empresa para a execucao de obras de REFORMA DO GALPAO DA FEIRA DA FERCAL - DF, pertinentes a execucao do objeto, nos termos do edital do convite no 01/2018-RA-XXXI e seus Anexos, ID 13145309, 13145702, 13145702, 13146338 E 13147459, que integram a presente carta convite.","R$ 49.620,00",00367-00001224/2018-26,01/2018,9006df88b378,0
c2b06c5c8c6c_00112-00030217/2018-41_118/2019,"Contratacao de empresa para fornecimento de 20.000 (vinte mil) toneladas de Brita Graduada Simples - BGS, visando atender as demandas da NOVACAP, assim, solicitado pelo executor, oriunda da Ata de Registro de Precos n.o 015/2019 - ASJUR/PRES, conforme descricoes, condicoes, e exigencias estabelecidas no Edital de Pregao Eletronico no 064/2018 - ASCAL/PRES.","R$ 883.000,00",00112-00030217/2018-41,118/2019,a40abbf0e3b7,0
111e1b31527c_092.001807/2019_9145,"Prestacao de servicos especializados de engenharia, com fornecimento de equipamentos e materiais, para a execucao de manutencao corretiva e preventiva no Comutador Automatico de Tap's do Transformador de Potencia B, de 15/20 MVA - 138/13,8 KV e servicos decorrentes no Transformador de Potencia B, existente na Estacao Elevatoria de Agua Bruta do Rio Descoberto - EAB.RDE.001, da Caesb","R$ 335.000,00",092.001807/2019,9145,e77cc56f69a8,0
110c603127b5_10586/2019_24/2019,"fornecimento de scanner de alta producao com mesa digitalizadora e alimentador automatico para folha tipo A3, com 36 meses de garantia on-site, incluindo suprimentos, com vistas ao atendimento de demandas internas do TCDF","R$ 97.556,00",10586/2019,24/2019,1c5c032a294f,0
649b7cf4f9b2_001-000.807/2018_26/2019 - PG/CLDF,"Prestacao de servicos de manutencao corretiva, preventiva e evolutiva com mao de obra a 30 (trinta) impressoras de marca Lexmark modelos C544DN, 02 (duas) impressoras de marca OKI modelos C9850HDN, 03 (tres) impressoras da marca Fargo modelos HDP5000 e 100 (cem) impressoras de marca Hewlett-Hackard (HP) modelos HP P3015DN, todas por 12 meses consecutivos.","R$ 80.499,96",001-000.807/2018,26/2019 - PG/CLDF,2e26d4360db0,0
36794f0c1242_00413-00004525/2019-35_10/2019,"Contratacao de empresa para prestacao de servico de controle de vetores e pragas urbanas, compreendendo, dedetizacao, desinsetizacao, desratizacao, descupinizacao, controle/manejo de pombos, para atender ao Instituto de Previdencia dos Servidores do Distrito Federal/DF e imoveis pertencentes ao Fundo Solidario Garantidor (FSG) geridos por este Instituto, consoante especifica o Edital da Ata de Registro de Precos SEI GDF no 9015/2019 do Pregao Eletronico no 0021/2019 e a Proposta da Contratada, que passam a integrar o presente Termo","R$ 266,38",00413-00004525/2019-35,10/2019,3d3d0f721f40,0
ec1af6178fb3_00054.00048974/2018-12_70/20I9,Aquisicao de 74 Pneus para motocicleta dimensoes 130/80R17,"R$ 13.570,86",00054.00048974/2018-12,70/20I9,f2d8bc3f4265,0
969bfc4aeda9_00054-00032771/2019-95_68/2019,"758 (setecentos e cinquenta e oito) pares de botas, de cano alto, para uso motociclista do BPTran, CPRv e CPTran","R$ 355.502,00",00054-00032771/2019-95,68/2019,a5d4d848434f,0
d432eecb328c_00142-00002158/2019-91_03/2019,"O presente CONTRATO tem por objeto a prestacao, de forma continua, dos servicos publicos de abastecimento de agua, esgotamento sanitario e outros servicos para as dependencias do CONSUMIDOR na unidade de consumo especificada, denominada proprios","R$ 212.840,30",00142-00002158/2019-91,03/2019,8988b35ce639,0
d8b6248ff700_04006-00000019/2019-93_09/2019,"Contratacao pela DF- PREVICOM de apolice coletiva de seguros (""Seguro""), especifica para garantir o risco de ""Cobertura Adicional"" (hipoteses de invalidez permanente e de morte), prevista no regulamento do Plano de Beneficios do Servidor Publico do Distrito Federal - Plano DF-Previdencia","R$ 1.000,00",04006-00000019/2019-93,09/2019,0675c115ee37,0
a9b8148ae7a2_04006-00000086/2019-16_10/2019,"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para os itens 19 e 20 do Grupo 2 e itens 1, 2, e 12 do referido pregao","R$ 7.419,57",04006-00000086/2019-16,10/2019,7f7fbbb913c7,0
54166fe94083_04006-00000086/2019-16_11/2019,"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para os itens 04 e 10 do referido pregao","R$ 10.680,00",04006-00000086/2019-16,11/2019,2a7292eaf9d3,0
f2f82800e950_04006-00000086/2019-16_13/2019,"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para os itens 3 e 7 do referido pregao.","R$ 1.380,00",04006-00000086/2019-16,13/2019,c33803189ffc,0
7638d205d2ce_04006-00000086/2019-16_14/2019,"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para o item 8 do referido pregao.","R$ 6.300,00",04006-00000086/2019-16,14/2019,0357c42f923f,0
4ffcd688ce43_04006-00000086/2019-16_15/2019,"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para o item 9 do referido pregao.","R$ 7.950,00",04006-00000086/2019-16,15/2019,a721aca3de3b,0
fc8b8da435ad_04006-00000086/2019-16_16/2019,"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para o item 15 do referido pregao.","R$ 6.158,00",04006-00000086/2019-16,16/2019,e45469addf07,0
fe977d627f3c_11 5 2 / 2 0 1 9_2019/213,"projeto ""Premio Nacional de Educacao Fiscal 2019""","R$ 35.000,00",11 5 2 / 2 0 1 9,2019/213,3fa610b1da89,0
59349f381304_00063-00003128/2019-45_9912474485,"prestacao, pelos CORREIOS, de servicos e venda de produtos, que atendam as necessidades da CONTRATANTE.","R$ 453.600,00",00063-00003128/2019-45,9912474485,9f7c7d773ea7,0
2de82cb602d7_00063-00002964/2019-11_22/2019,"servicos de Auditoria de Contagens de Pontos de Funcao, sob demanda, relacionada as atividades realizadas pela Fabrica de Software CONTRATADA (processo 00063-00000513/2019-31). A empresa devera auditar a contagem utilizando a tecnica de pontos de funcao descrita em sua ultima versao no Manual de Praticas de Contagens por Pontos de Funcao (Function Point Counting Practices Manual), publicado pelo IFPUG (International Function Point Users Group - www.ifpug.org) e de forma complementar pelo Roteiro de Metricas do SISP, em sua ultima versao.","R$ 13.035,00",00063-00002964/2019-11,22/2019,75a585a5a284,0
95823e2dc945_00113-00027125/2019-37_086/2019,"Contratacao de empresa especializada para a elaboracao de PROJETO EXECUTIVO de Engenharia para avaliacao e readequacao da RESTAURACAO DA INFRAESTRUTURA VIARIA DA RODOVIA DF-087 (EPVL), no segmento compreendido entre o entroncamento com a DF-085 (EPTG) ate DF-095 (EPCL), especificamente no trecho entre a estaca 0+0,00 a 15+0,00, com extensao de 300,00 (trezentos) metros, incluindo a reformulacao do sistema de DRENAGEM, com a realizacao de visita ""in loco"", execucao de ensaios de campo e laboratoriais que se facam necessarios","R$ 21.454,72",00113-00027125/2019-37,086/2019,c171b0177cb8,0
970c98701d7b_00055-00053773/2019-90_05/2019,"contratacao de empresa especializada, sob regime de empreitada por preco global, com composicao de custo unitario, para prestacao dos servicos continuos de fornecimento, instalacao, operacao e manutencao de Equipamentos de Fiscalizacao Eletronica - REIT III, com e sem OCR; reconhecimento automatico de placas de veiculos por meio da tecnologia OCR; verificacao do percurso de origem-destino e tempo de percurso; gestao e processamento das informacoes de trafego por meio dos equipamentos definidos acima por meio do sistema de envio de dados aos computadores destinados a funcionar como servidores do sistema digital; elaboracao de inventarios, registros, ordenacao de dados de contagem volumetrica e classificatorios de veiculos e emissao e geracao de relatorios de autos de infracao, nos termos e limites estabelecidos no Termo de Referencia (30433898) e seus anexos e na proposta da CONTRATADA (31180935), que passam a integrar o presente Ajuste, como se transcritos fossem.","R$ 1.442.798,89",00055-00053773/2019-90,05/2019,26e917a59883,0
7566afc573d8_00055-00068050/2019-95_14/2019,"aquisicao de equipamentos, licencas de uso de softwares, treinamento, instalacao e consultoria tecnica de FIREWALL, PROXY e IPS de borda, alem do balanceamento de links com redundancia, visando a atualizacao e melhoria do ambiente de protecao e disponibilidade da rede e dos servicos desta Autarquia, nos termos do instrumento convocatorio, que faz parte do presente termo independente de transcricao.","R$ 4.718.390,90",00055-00068050/2019-95,14/2019,4cd80b0f7d3f,0
96bc3d98f0b4_00310-00003945/2019-25_781 /2019,Aquisicao de Medidores,"R$ 119.000,00",00310-00003945/2019-25,781 /2019,188ea1e26c01,0
0064160dbc9f_00310-00008062/2018-21_794 /2019,"Contratacao de Servicos/obras de Implantacao da Subestacao 08 - 34,5 kv","R$ 11.530.286,18",00310-00008062/2018-21,794 /2019,69e7c453466e,0
01ebcdb0d6af_00310.00007508/2019-81_798/2019,"Contratacao de servicos de suporte e sustentacao (manutencao corretiva, adaptativa e evolutiva) dos servicos de producao e servicos de mapeamento do sistema de gestao comercial da CEB - GCO","R$ 7.281.000,00",00310.00007508/2019-81,798/2019,2e0259be746c,0
b8d2b9352490_0094-001014/2015_27/2019,"Contratacao de empresa para construcao de um Ponto de Entrega Voluntaria - PEV - para organizacao e armazenamento provisorio dos materiais recebidos na Cidade de AGUAS CLARAS/ DF, localizado na Av. Jacaranda, Lote 24, os servicos serao executados de acordo com o projeto padrao. Todo o procedimento esta explicito nas normas e criterios referente a cada servico, conforme MEMORIAL DESCRITIVO E QUANTIFICACAO DE SERVICOS - ANEXO A do Anexo I (termo de Referencia) do Edital.","R$ 172.846,56",0094-001014/2015,27/2019,0f06b6780533,0
3bf5f3d8036c_00431-00000327/2018-01_039896/2019,"prestacao de servicos de limpeza e manutencao preventiva e corretiva dos sistemas de filtragem e tratamento quimico da piscina semiolimpica do Centro de Convivencia e Fortalecimento de Vinculos de Taguatinga Mozart Parada, incluindo fornecimento de mao de obra, material, suprimentos, insumos diversos, material de consumo e equipamentos necessarios a execucao dos servicos, consoante especifica o Edital de Pregao Eletronico no 01/2019 - SEDES/DF.","R$ 55.100,00",00431-00000327/2018-01,039896/2019,c959deb13ac6,0
66075c42baee_00401-00015421/2019-40_041/2019,"aquisicao de equipamentos de informatica necessarios a instalacao do software Sistema de Gerenciamento do Atendimento - SGA nas unidades da Defensoria Publica do Distrito Federal - DPDF, Impressoras Termicas e fornecimento de Bobinas Termicas, consoante especifica o Edital de Pregao Eletronico no 04/2019-DPDF e a Proposta do Fornecedor.","R$ 30.906,00",00401-00015421/2019-40,041/2019,bfb330076ba9,0
48efde31307b_00040-00022212/2019-17_40099/2019,"O presente contrato tem por objeto a prestacao dos servicos publicos de abastecimento de agua, esgotamento sanitario e outros servicos para as dependencias do CONSUMIDOR nas unidades de consumo localizadas nos enderecos: a) Palacio do Buriti, Praca do Buriti, Bloco A; b) Gestao de Frota, SGO Qd. 23 Lote 23; e c) Anexo do Buriti, Praca do Buriti, Bloco B.","R$ 3.073.668,24",00040-00022212/2019-17,40099/2019,f8d82b0fd14c,0
d0f499892d02_00060-00238757/2019-79_088/2019-SES/DF,"Aquisicao em sistema de registro de precos de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) - CADEIRAS DE RODAS DIVERSAS contempladas na tabela SUS do Ministerio da Saude para atender a demanda dos pacientes cadastrados no Nucleo de Producao de Orteses e Proteses/GESF da Rede SES/DF","R$ 98.532,00",00060-00238757/2019-79,088/2019-SES/DF,a3f85e062cbc,0
26d9847afad0_00060-00353429/2019-00_101/2019-SES/DF,"aquisicao de material permanente - Aparelhos de Ar Condicionado, com instalacao simples, tipo Split com Sistema Inverter, a fim de atender a Secretaria de Estado de Saude do Distrito Federal - SES/DF","R$ 549.998,90",00060-00353429/2019-00,101/2019-SES/DF,4cc53b8c1989,0
