objeto_contrato,valor_contrato,hash,versao_idx
"Identificacao CEB 1.001.558-2 (Estadio Bezerrao) - Regular o fornecimento de energia eletrica pela Distribuidora ao Contratante, para uso exclusivo em sua unidade consumidora, pertencente ao grupo A e regular os direitos e obrigacoes das partes ao uso da rede eletrica, observados o MUSD contratado e o ponto de conexao;","R$ 331.962,84",0b2a68d7ff70,0
"O presente CONTRATO tem por objeto regular, de forma continua, exclusivamente os servicos publicos de abastecimento de agua e esgotamento sanitario ao CONTRATANTE, necessarios ao funcionamento dos proprios desta RA-XIV constantes no Anexo I deste Extrato, conforme condicoes, quantidades e especificacoes do Projeto Basico RA-XIV/COAG/GEAD (16406882).","R$ 1.069.698,90",c70ce24ed6f1,0
"Prorrogacao do prazo de vigencia do Contrato ora aditado, por mais 12 (doze) meses, a partir do dia 12/12/2018 ate 12/12/2019.","R$ 427.751,88",a8a638955781,0
"Execucao, pela Contratada, de servicos bancarios basicos do BRB, na qualidade de Correspondente no Pais.","R$ 700.000,00",52b36eaf3f10,0
"O presente contrato tem por objeto a prestacao de servicos de arrecadacao de multas de transito, de acordo com o art. 8o do Decreto Federal no 2.613, de 23 de junho de 1998, contendo as informacoes conforme modelo disposto na Portaria no 95, de 28/07/2015","R$ 246.000,00",2fd8959210ec,0
"O Contrato tem por objeto a aquisicao dos seguintes itens: Item 20: Quantidade 03 ( tres). GRADE ARADORA CONTROLE R E M O TO , com 14 discos de 26 polegadas de diametro e 06 mm de espessura minima, mancais de rolamento com lubrificacao permanente em banho de oleo, ou a graxa, espacamento minimo entre os discos de 230mm. controle remoto para regulagem de profundidade do trabalho e transporte por meio do sistema hidraulico e pneus agricolas largura de corte minima de 1500 mm. compativel com tratores de potencia minima de 75 CV; Marca: CIMAG; Modelo / Versao: GRADE ARADORA CIMAG 14 x 26 x 6,0, consoante especifica o Edital de Pregao Eletronico no 04/2018 (Doc. Sei id 5507666) e a Proposta (Doc. Sei id14269745), que passam a integrar o presente Termo","R$ 39.600,00",a276cd7eb74b,0
"O Contrato tem por objeto a aquisicao dos seguintes itens: Item 20: Quantidade 05 (cinco). GRADE ARADORA CONTROLE REMOTO, com 14 discos de 26 polegadas de diametro e 06 mm de espessura minima, mancais de rolamento com lubrificacao permanente em banho de oleo, ou a graxa, espacamento minimo entre os discos de 230mm. controle remoto para regulagem de profundidade do trabalho e transporte por meio do sistema hidraulico e pneus agricolas largura de corte minima de 1500 mm. compativel com tratores de potencia minima de 75 CV; Marca: CIMAG; Modelo / Versao: GRADE ARADORA CIMAG 14 x 26 x 6,0, consoante especifica o Edital de Pregao Eletronico no 04/2018 (Doc. Sei id 5507666) e a Proposta (Doc. Sei id 14816930), que passam a integrar o presente Termo","R$ 66.000,00",06da7bfdf032,0
"O Contrato tem por objeto a aquisicao de Aquisicao de 170 (cento e setenta) capacetes de salvamento, na cor laranja, Marca/Modelo KASK/ HP CRI , conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do Anexo I do Edital (12132526) e na Proposta (12917099), que passam a integrar o presente Termo.","R$ 175.950,00",4d6785cb6d83,0
"Aquisicao de tubos de Polietileno de Alta Densidade - PEAD, para utilizacao nas obras de remanejamento do interceptor de Taguatinga, dos sistemas de esgotamento sanitario do Sol Nascente Bacia E, Por do Sol e Colonia Agricola Sucupira, extravasor e linha de recalque SES Sol Nascente Bacia E, substituicao de redes de distribuicao de agua nas SCRLN/SHCG 703 a 712 na Asa Norte, em Brasilia/DF (itens 03, 04, 13 e 14).","R$ 861.960,00",c3f09a418f57,0
"O presente Contrato objetiva a prestacao de servico de cessao de uso e treinamento remoto (via internet) do Modulo Adicional Legislacao do sistema de gerenciamento de bibliotecas, Sophia Biblioteca, consoante a Justificativa de Inexigibilidade de Licitacao baseada no inciso I do artigo 25 da Lei no 8.666/1993.","R$ 3.135,30",73ce47942e20,0
"O presente contrato objetiva a contratacao de prestacao de servicos de elaboracao de projeto arquitetonico, projeto eletrico e projeto de climatizacao para a reforma do Centro de Processamento de dados - CPD, de competencia do Instituto do Meio Ambiente e dos Recursos Hidricos do Distrito Federal - IBRAM.","R$ 8.500,00",be564ce0ddb6,0
"contratacao de empresa para a execucao de obras de REFORMA DO GALPAO DA FEIRA DA FERCAL - DF, pertinentes a execucao do objeto, nos termos do edital do convite no 01/2018-RA-XXXI e seus Anexos, ID 13145309, 13145702, 13145702, 13146338 E 13147459, que integram a presente carta convite.","R$ 49.620,00",4abd18053fed,0
"Contratacao de empresa para fornecimento de 20.000 (vinte mil) toneladas de Brita Graduada Simples - BGS, visando atender as demandas da NOVACAP, assim, solicitado pelo executor, oriunda da Ata de Registro de Precos n.o 015/2019 - ASJUR/PRES, conforme descricoes, condicoes, e exigencias estabelecidas no Edital de Pregao Eletronico no 064/2018 - ASCAL/PRES.","R$ 883.000,00",c2b06c5c8c6c,0
"Prestacao de servicos especializados de engenharia, com fornecimento de equipamentos e materiais, para a execucao de manutencao corretiva e preventiva no Comutador Automatico de Tap's do Transformador de Potencia B, de 15/20 MVA - 138/13,8 KV e servicos decorrentes no Transformador de Potencia B, existente na Estacao Elevatoria de Agua Bruta do Rio Descoberto - EAB.RDE.001, da Caesb","R$ 335.000,00",111e1b31527c,0
"fornecimento de scanner de alta producao com mesa digitalizadora e alimentador automatico para folha tipo A3, com 36 meses de garantia on-site, incluindo suprimentos, com vistas ao atendimento de demandas internas do TCDF","R$ 97.556,00",110c603127b5,0
"Prestacao de servicos de manutencao corretiva, preventiva e evolutiva com mao de obra a 30 (trinta) impressoras de marca Lexmark modelos C544DN, 02 (duas) impressoras de marca OKI modelos C9850HDN, 03 (tres) impressoras da marca Fargo modelos HDP5000 e 100 (cem) impressoras de marca Hewlett-Hackard (HP) modelos HP P3015DN, todas por 12 meses consecutivos.","R$ 80.499,96",649b7cf4f9b2,0
"Contratacao de empresa para prestacao de servico de controle de vetores e pragas urbanas, compreendendo, dedetizacao, desinsetizacao, desratizacao, descupinizacao, controle/manejo de pombos, para atender ao Instituto de Previdencia dos Servidores do Distrito Federal/DF e imoveis pertencentes ao Fundo Solidario Garantidor (FSG) geridos por este Instituto, consoante especifica o Edital da Ata de Registro de Precos SEI GDF no 9015/2019 do Pregao Eletronico no 0021/2019 e a Proposta da Contratada, que passam a integrar o presente Termo","R$ 266,38",36794f0c1242,0
Aquisicao de 74 Pneus para motocicleta dimensoes 130/80R17,"R$ 13.570,86",ec1af6178fb3,0
"758 (setecentos e cinquenta e oito) pares de botas, de cano alto, para uso motociclista do BPTran, CPRv e CPTran","R$ 355.502,00",969bfc4aeda9,0
"O presente CONTRATO tem por objeto a prestacao, de forma continua, dos servicos publicos de abastecimento de agua, esgotamento sanitario e outros servicos para as dependencias do CONSUMIDOR na unidade de consumo especificada, denominada proprios","R$ 212.840,30",d432eecb328c,0
"Contratacao pela DF- PREVICOM de apolice coletiva de seguros (""Seguro""), especifica para garantir o risco de ""Cobertura Adicional"" (hipoteses de invalidez permanente e de morte), prevista no regulamento do Plano de Beneficios do Servidor Publico do Distrito Federal - Plano DF-Previdencia","R$ 1.000,00",d8b6248ff700,0
"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para os itens 19 e 20 do Grupo 2 e itens 1, 2, e 12 do referido pregao","R$ 7.419,57",a9b8148ae7a2,0
"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para os itens 04 e 10 do referido pregao","R$ 10.680,00",54166fe94083,0
"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para os itens 3 e 7 do referido pregao.","R$ 1.380,00",f2f82800e950,0
"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para o item 8 do referido pregao.","R$ 6.300,00",7638d205d2ce,0
"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para o item 9 do referido pregao.","R$ 7.950,00",4ffcd688ce43,0
"Contratacao de empresa para fornecimento de materiais graficos diversos, sob demanda, conforme condicoes e especificacoes constantes no Edital de Pregao Eletronico no 02/2019 - DF-PREVICOM, e seus Anexos, em consonancia com a proposta de preco ofertada para o item 15 do referido pregao.","R$ 6.158,00",fc8b8da435ad,0
"projeto ""Premio Nacional de Educacao Fiscal 2019""","R$ 35.000,00",fe977d627f3c,0
"prestacao, pelos CORREIOS, de servicos e venda de produtos, que atendam as necessidades da CONTRATANTE.","R$ 453.600,00",59349f381304,0
"servicos de Auditoria de Contagens de Pontos de Funcao, sob demanda, relacionada as atividades realizadas pela Fabrica de Software CONTRATADA (processo 00063-00000513/2019-31). A empresa devera auditar a contagem utilizando a tecnica de pontos de funcao descrita em sua ultima versao no Manual de Praticas de Contagens por Pontos de Funcao (Function Point Counting Practices Manual), publicado pelo IFPUG (International Function Point Users Group - www.ifpug.org) e de forma complementar pelo Roteiro de Metricas do SISP, em sua ultima versao.","R$ 13.035,00",2de82cb602d7,0
"Contratacao de empresa especializada para a elaboracao de PROJETO EXECUTIVO de Engenharia para avaliacao e readequacao da RESTAURACAO DA INFRAESTRUTURA VIARIA DA RODOVIA DF-087 (EPVL), no segmento compreendido entre o entroncamento com a DF-085 (EPTG) ate DF-095 (EPCL), especificamente no trecho entre a estaca 0+0,00 a 15+0,00, com extensao de 300,00 (trezentos) metros, incluindo a reformulacao do sistema de DRENAGEM, com a realizacao de visita ""in loco"", execucao de ensaios de campo e laboratoriais que se facam necessarios","R$ 21.454,72",95823e2dc945,0
"contratacao de empresa especializada, sob regime de empreitada por preco global, com composicao de custo unitario, para prestacao dos servicos continuos de fornecimento, instalacao, operacao e manutencao de Equipamentos de Fiscalizacao Eletronica - REIT III, com e sem OCR; reconhecimento automatico de placas de veiculos por meio da tecnologia OCR; verificacao do percurso de origem-destino e tempo de percurso; gestao e processamento das informacoes de trafego por meio dos equipamentos definidos acima por meio do sistema de envio de dados aos computadores destinados a funcionar como servidores do sistema digital; elaboracao de inventarios, registros, ordenacao de dados de contagem volumetrica e classificatorios de veiculos e emissao e geracao de relatorios de autos de infracao, nos termos e limites estabelecidos no Termo de Referencia (30433898) e seus anexos e na proposta da CONTRATADA (31180935), que passam a integrar o presente Ajuste, como se transcritos fossem.","R$ 1.442.798,89",970c98701d7b,0
"aquisicao de equipamentos, licencas de uso de softwares, treinamento, instalacao e consultoria tecnica de FIREWALL, PROXY e IPS de borda, alem do balanceamento de links com redundancia, visando a atualizacao e melhoria do ambiente de protecao e disponibilidade da rede e dos servicos desta Autarquia, nos termos do instrumento convocatorio, que faz parte do presente termo independente de transcricao.","R$ 4.718.390,90",7566afc573d8,0
Aquisicao de Medidores,"R$ 119.000,00",96bc3d98f0b4,0
"Contratacao de Servicos/obras de Implantacao da Subestacao 08 - 34,5 kv","R$ 11.530.286,18",0064160dbc9f,0
"Contratacao de servicos de suporte e sustentacao (manutencao corretiva, adaptativa e evolutiva) dos servicos de producao e servicos de mapeamento do sistema de gestao comercial da CEB - GCO","R$ 7.281.000,00",01ebcdb0d6af,0
"Contratacao de empresa para construcao de um Ponto de Entrega Voluntaria - PEV - para organizacao e armazenamento provisorio dos materiais recebidos na Cidade de AGUAS CLARAS/ DF, localizado na Av. Jacaranda, Lote 24, os servicos serao executados de acordo com o projeto padrao. Todo o procedimento esta explicito nas normas e criterios referente a cada servico, conforme MEMORIAL DESCRITIVO E QUANTIFICACAO DE SERVICOS - ANEXO A do Anexo I (termo de Referencia) do Edital.","R$ 172.846,56",b8d2b9352490,0
"prestacao de servicos de limpeza e manutencao preventiva e corretiva dos sistemas de filtragem e tratamento quimico da piscina semiolimpica do Centro de Convivencia e Fortalecimento de Vinculos de Taguatinga Mozart Parada, incluindo fornecimento de mao de obra, material, suprimentos, insumos diversos, material de consumo e equipamentos necessarios a execucao dos servicos, consoante especifica o Edital de Pregao Eletronico no 01/2019 - SEDES/DF.","R$ 55.100,00",3bf5f3d8036c,0
"aquisicao de equipamentos de informatica necessarios a instalacao do software Sistema de Gerenciamento do Atendimento - SGA nas unidades da Defensoria Publica do Distrito Federal - DPDF, Impressoras Termicas e fornecimento de Bobinas Termicas, consoante especifica o Edital de Pregao Eletronico no 04/2019-DPDF e a Proposta do Fornecedor.","R$ 30.906,00",66075c42baee,0
"O presente contrato tem por objeto a prestacao dos servicos publicos de abastecimento de agua, esgotamento sanitario e outros servicos para as dependencias do CONSUMIDOR nas unidades de consumo localizadas nos enderecos: a) Palacio do Buriti, Praca do Buriti, Bloco A; b) Gestao de Frota, SGO Qd. 23 Lote 23; e c) Anexo do Buriti, Praca do Buriti, Bloco B.","R$ 3.073.668,24",48efde31307b,0
"Aquisicao em sistema de registro de precos de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) - CADEIRAS DE RODAS DIVERSAS contempladas na tabela SUS do Ministerio da Saude para atender a demanda dos pacientes cadastrados no Nucleo de Producao de Orteses e Proteses/GESF da Rede SES/DF","R$ 98.532,00",d0f499892d02,0
"aquisicao de material permanente - Aparelhos de Ar Condicionado, com instalacao simples, tipo Split com Sistema Inverter, a fim de atender a Secretaria de Estado de Saude do Distrito Federal - SES/DF","R$ 549.998,90",26d9847afad0,0
"Aquisicao em sistema de registro de precos de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) - CADEIRAS DE RODAS DIVERSAS contempladas na tabela SUS do Ministerio da Saude para atender a demanda dos pacientes cadastrados no Nucleo de Producao de Orteses e Proteses/GESF da Rede SES/DF","R$ 339.390,00",d0f499892d02,1
"aquisicao, em Sistema de Registro de Precos, de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) - Ambulatoriais - ORTESES E PROTESES AMBULATORIAIS, contemplados na Tabela SUS DE OPME do Ministerio da Saude, para atender as necessidades da Secretaria de Saude - DF (Itens 01 e 02)","R$ 25.840,00",4407342d1765,0
A prestacao de servicos complementares a Secretaria de Estado de Saude do Distrito Federal na area de Oftalmologia para a realizacao mensal de no maximo 50 cirurgias oftalmologicas de vitrectomia nos pacientes usuarios do Sistema Unico de Saude (SUS),"R$ 8.177.604,00",90fe5e95b1fc,0
"A contratacao de servico tecnico para elaboracao de estudos ambientais (sob demanda), tais como: RIVI, RIAC, PCA, RCA, PRAD, Plano de Manejo, Levantamento Floristico, Levantamento de Fauna, Estudo de Risco Geotecnico / Ambiental, Projeto de Educacao Ambiental, Levantamento Arqueologico, Audiencia Publica, laudos, pericias, inspecoes, pareceres, diagnosticos ambientais e outros levantamentos e estudos tematicos relacionados as questoes ambientais e de recursos hidricos.","R$ 325.000,00",42a1944bbd4f,0
"aquisicao de 03 (tres) veiculos de tracao mecanica, consoante a especificacao constante no item 02 do Termo de Referencia (no SEI 25498065, para atender as necessidades estipuladas no plano de trabalho do Contrato de Repasse n 872829/2018","R$ 174.000,00",2fa90eb6e92d,0
"aquisicao de 10 (dez) veiculos de tracao mecanica, consoante a especificacao constante no item 02 do Termo de Referencia (no SEI 25498065, para atender as necessidades estipuladas no plano de trabalho dos Contratos de Repasse n 880962/2018 e 872829/2018","R$ 519.875,00",a9f0b30b2de4,0
"contratacao de empresa especializada para a prestacao de servicos de transporte, distribuicao, plantio de mudas de especies nativas do bioma cerrado com manutencao e monitoramento das mesmas por 03 (tres) anos na bacia hidrografica do Pipiripau, regiao administrativa de Planaltina - RA - VI - Brasilia - DF, no ambito do Programa Produtor de agua - Projeto Pipiripau","R$ 413.444,00",9b6eeb3bb3af,0
"Contratacao de empresa especializada para a prestacao de servicos de semeadura direta em 25 ha (vinte e cinco hectares) de especies vegetais nativas do Bioma Cerrado com manutencao e monitoramento das mesmas por 03 (tres) anos na Bacia Hidrografica do Pipiripau, Regiao Administrativa de Planaltina - RA - VI - Brasilia - DF, no ambito do Programa Produtor de Agua - Projeto Pipiripau","R$ 229.979,79",1336796c3d85,0
"a prestacao, de forma continua, dos servicos publicos de abastecimento de agua, esgotamento sanitario e outros servicos para as dependencias da Residencia Oficial de Aguas Claras - ROAC.","R$ 314.842,99",8e6947f7221e,0
"A prestacao servicos necessarios para realizacao do 1o CONGRESSO DE SAUDE INTEGRAL E VALORIZACAO DA VIDA da Policia Militar do Distrito Federal, que ocorrera em Brasilia, nos dias 22, 23 e 25 a 29 de novembro de 2019, conforme as especificacoes, condicoes, quantidades e exigencias estabelecidas no Termo de Referencia do Edital de Pregao Eletronico n. 46/2019- PMDF.","R$ 97.800,00",192d893b50fc,0
"contratacao servicos para a realizacao de cirurgia de cabeca e pescoco, em atendimento a decisao judicial constante do processo no 0704066-15.2019.8.07.9000-TJDFT.","R$ 15.000,00",5bafb0dd534b,0
"prestacao de servico de consultoria especializada para realizacao de trabalho de validacao do Laudo de Avaliacao dos Ativos Imobilizados em Servico, a ser apresentado pela Companhia de Saneamento Ambiental do Distrito - CAESB a Adasa para ajuste da Base de Ativos Regulatoria - BAR, referente a 3a Revisao Tarifaria Periodica, conforme condicoes e especificacoes constantes do Anexo I do Projeto Basico do edital da Concorrencia 02/2019.","R$ 281.600,00",498915e480d4,0
"Execucao da obra de Implantacao de 02 (dois) Reservatorios Apoiados em aco, constituidos de 15.000m3 cada - reservatorio apoiado Brasilia 01 (RAP.PPL.001), na area ETA Brasilia.","R$ 31.084.805,66",05d4aa652226,0
"Aquisicao de Luminarias para Iluminacao Publica a LED, potencia de 160 Watts (519 unidades).","R$ 311.400,00",7d99cfa90986,0
"Aquisicao de barramento rigido, conforme norma tecnica de distribuicao NTD No 3.37.","R$ 926.814,43",97cff27de938,0
"Contrato para prestacao de servicos de planejamento, organizacao, execucao e acompanhamento de eventos institucionais - Lote 6, para a Secretaria de Estado de Desenvolvimento Urbano e Habitacao do Distrito Federal, destinados ao atendimento das necessidades desta Pasta, consoante especificacoes e condicoes estabelecidas no Lote 06 do Termo de Referencia constante do Anexo I do Edital de Pregao Eletronico para SRP No 001/2019 - SEDUH, da Proposta da empresa Imperador Comercio e Servicos para Eventos Eireli, de 02/09/2019 e da Lei n.o 8.666/93, que passam a integrar o presente Termo.","R$ 113.446,00",3203fe9877a5,0
"Contrato para prestacao de servicos de planejamento, organizacao, execucao e acompanhamento de eventos institucionais - Lote 4, para a Secretaria de Estado de Desenvolvimento Urbano e Habitacao do Distrito Federal, destinados ao atendimento das necessidades desta Pasta, consoante especificacoes e condicoes estabelecidas no Lote 04 do Termo de Referencia constante do Anexo I do Edital de Pregao Eletronico para SRP No 001/2019 - SEDUH, da Proposta da empresa MV Eventos Artisticos e Esportivos Eireli, de 02/09/2019 e da Lei n.o 8.666/93, que passam a integrar o presente Termo.","R$ 210.972,47",37df2cc62c64,0
"Contrato para prestacao de servicos de planejamento, organizacao, execucao e acompanhamento de eventos institucionais - Lote 5, para a Secretaria de Estado de Desenvolvimento Urbano e Habitacao do Distrito Federal, destinados ao atendimento das necessidades desta Pasta, consoante especificacoes e condicoes estabelecidas no Lote 05 do Termo de Referencia constante do Anexo I do Edital de Pregao Eletronico para SRP No 001/2019 - SEDUH, da Proposta da empresa MV Eventos Artisticos e Esportivos Eireli, de 02/09/2019 e da Lei n.o 8.666/93, que passam a integrar o presente Termo.","R$ 206.753,20",16293197e707,0
"contratacao de empresa especializada no fornecimento de Conjunto de GPS de Navegacao Portatil acompanhado dos respectivos Acessorios, nas especificacoes e caracteristicas constantes no ITEM 7 do Termo de Referencia, Anexo I do Edital do Pregao Eletronico SRP no 15/2019 (28697792), que e parte integrante desta Ata, assim como a proposta vencedora, independentemente de transcricao. Fundamentacao Legal: Edital de Pregao Eletronico SRP n. o 015/2019 - CODHAB/DF.","R$ 20.195,00",0eaf2a3fdfaf,0
"prestacao de servicos tecnico-especializados com vistas ao planejamento, organizacao, execucao e acompanhamento de concursos publicos, para preenchimento de cargos efetivos de: Auditor (Conselheiro Substituto) do Tribunal de Contas do Distrito Federal, Procurador do Ministerio Publico junto ao TCDF e Auditor de Controle Externo","R$ 1.485.000,00",d9b542ddaf49,0
"aquisicao de material de sinalizacao visual (crachas de identificacao funcional), consoante especifica o Edital de Pregao Eletronico no 3/2019 - SEPLAG e a Ata de Registro de Precos no 6/2019 - SEPLAG","R$ 6.169,00",95540519cef7,0
"fornecimento de Refeicao e Lanches, para Campanhas de Vacinacao Humana ( Dia Nacional de Mobilizacao - Dia ""D"") para atender as necessidades da Subsecretaria de Vigilancia Sanitaria (SVS), conforme especificacoes e quantitativos constantes no Anexo I do Edital, nos termos do Edital do Pregao Eletronico n 43/2019-SES/DF (21200894 ), Ata de Registro de Precos no 43/2019 por Fornecedor (21148237), Resultado por Fornecedor ( 21201071) , Termo de Adjudicacao do PE n 43/2019-SES/DF (21201426), Termo de Homologacao do PE n 43/2019-SES/DF ( 21201319), Autorizo da Nota de Empenho (21553886), Nota de Empenho (21619477), e demais disposicoes constantes nas Leis n 8.666/1993 e 10.520/2002, que passam a integrar o presente Termo","R$ 22.609,73",84ff6986ddb1,0
"Prestacao de servicos de continuados, sob demanda, de manutencao preventiva e corretiva com aplicacao de pecas e acessorios genuinos e/ou originais nas maquinas e equipamentos de terraplanagem, manutencao e conservacao pertencentes a frota do DER/DF (ITENS 2, 3, 4, 5 e 7)","R$ 1.959.348,09",3c64349fc4de,0
